você tem diferencial de batalha?,diferencial_batalha
qual seu diferencial de batalha?,diferencial_batalha
Quais batalhas participou?,experiencias_combate
Quais guerras ja lutou ?,experiencias_combate
quais suas experiencias no campo de batalha ?,experiencia_trab
quais suas experiencias em combate?,experiencia_trab
quais são suas habilidades especiais?,habilidades_especiais
quais suas habilidades especiais?,habilidades_especiais
qual sua idade?,idade
qual seu tempo de vida?,idade
quantos anos você tem ?,idade
quais lições aprendidas na batalha?,licoes_aprendidas
quais lições aprendidas?,licoes_aprendidas
como se chama?,nome
qual seu nome guerreiro?,nome
qual seu nome?,nome
fale sobre você,resumo
fale um pouco sobre você,resumo
qual seu resumo do guerreiro?,resumo
oi,saudacao
boa noite,saudacao
E ai,saudacao
boa tarde,saudacao
bom dia,saudacao
ola,saudacao
tempo congelado,tempo_gelo
A quanto tempo esta congelado?,tempo_gelo
a quanto tempo ta no gelo?,tempo_gelo
